StepNumber,Step,Unit,PartNumber,id,blend_item_code,trimmed_item_code,Unnamed: 4,Unnamed: 5
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,5,14308.B,14308B,,
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,6,14308.B,14308B,,
7,Start agitator at 160 RPM.,,,7,14308.B,14308B,,
8,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,8,14308.B,14308B,,
9,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,9,14308.B,14308B,,
10,Agitate for 1 hour.,,,10,14308.B,14308B,,
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,11,14308.B,14308B,,
12,Ensure that any agitators used have been turned off.,,,12,14308.B,14308B,,
13,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,13,14308.B,14308B,,
1,Gather the required materials.,,,1,14308AMBER.B,14308AMBERB,,
2,Verify that the vessel is clean.,,,2,14308AMBER.B,14308AMBERB,,
3,Change all sock filters and water trap filters.,,,3,14308AMBER.B,14308AMBERB,,
4,Agitate enzyme drums for 3 minutes before using.,,,4,14308AMBER.B,14308AMBERB,,
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,5,14308AMBER.B,14308AMBERB,,
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,6,14308AMBER.B,14308AMBERB,,
7,Start agitator at 160 RPM.,,,7,14308AMBER.B,14308AMBERB,,
8,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,8,14308AMBER.B,14308AMBERB,,
9,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,9,14308AMBER.B,14308AMBERB,,
10,Pump product to dedicated amber-startron mix vessel. (Tank 17).,,,10,14308AMBER.B,14308AMBERB,,
11,Hook air hose to line so excess product is blown out and product in vessel begins bubbling.,,,11,14308AMBER.B,14308AMBERB,,
12,Leaving air on so that air bubbles agitate the blend; add Chromatint Yellow Dye HF D51003.,grams,030192,12,14308AMBER.B,14308AMBERB,,
13,Leaving air on so that air bubbles agitate the blend; add Chromatint Red IK D530004.,grams,100416,13,14308AMBER.B,14308AMBERB,,
14,Mix product for 1 hour using air bubbles. ,,,14,14308AMBER.B,14308AMBERB,,
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,15,14308AMBER.B,14308AMBERB,,
16,Ensure that any agitators used have been turned off.,,,16,14308AMBER.B,14308AMBERB,,
1,Gather the required materials.,,,1,14800.B,14800B,,
2,Verify that the vessel is clean.,,,2,14800.B,14800B,,
3,Change all sock filters and water trap filters.,,,3,14800.B,14800B,,
4,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,4,14800.B,14800B,,
5,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,5,14800.B,14800B,,
6,Start agitator at 160 RPM.,,,6,14800.B,14800B,,
7,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,7,14800.B,14800B,,
8,Add Afton 6455,lbs,100547,8,14800.B,14800B,,
9,Add Ethanox 4737R,lbs,100548,9,14800.B,14800B,,
10,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,10,14800.B,14800B,,
11,Agitate for 1 hour.,,,11,14800.B,14800B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,12,14800.B,14800B,,
13,Ensure that any agitators used have been turned off.,,,13,14800.B,14800B,,
14,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,14,14800.B,14800B,,
1,Gather the required materials.,,,1,16200.B,16200B,,
2,Verify that the vessel is clean.,,,2,16200.B,16200B,,
3,Charge kettle with Motiva Star 4,gal,,3,16200.B,16200B,,
4,With agitation add Motiva Star 12,gal,,4,16200.B,16200B,,
5,then add Elco 102,gal,,5,16200.B,16200B,,
6,Let agitate for 60 minutes,,,6,16200.B,16200B,,
7,Sample blend; label sample container; and deliver sample to QC Lab.,,,7,16200.B,16200B,,
8,Ensure that any agitators used have been turned off.,,,8,16200.B,16200B,,
9,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,9,16200.B,16200B,,
1,Gather the required materials.,,,1,16300.B,16300B,,
2,Verify that the vessel is clean.,,,2,16300.B,16300B,,
3,Apply GHS label to the mix vessel.,,,3,16300.B,16300B,,
4,Charge kettle with ArmacoPrima 220(Motiva Star 6),gal,,4,16300.B,16300B,,
5,Under agitation add Motiva Star 12,gal,,5,16300.B,16300B,,
6,Add Elco 102,gal,,6,16300.B,16300B,,
7,Agitate for 60 minutes.,,,7,16300.B,16300B,,
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,8,16300.B,16300B,,
9,Remove GHS label from the mix vessel.,,,9,16300.B,16300B,,
10,Ensure that any agitators used have been turned off.,,,10,16300.B,16300B,,
1,Gather the required materials.,,,1,16600.B,16600B,,
2,Verify that the mix vessel is clean. ,,,2,16600.B,16600B,,
3,Apply GHS label to mix vessel. ,,,3,16600.B,16600B,,
4,Charge vessel with Motiva Star 6 (Aramco Prima 220).,lbs,100428M6,4,16600.B,16600B,,
5,Start agitator. ,,,5,16600.B,16600B,,
6,Add Infineum S810.,lbs,100560,6,16600.B,16600B,,
7,Agitate for 20 minutes.,,,7,16600.B,16600B,,
8,Add Infineum S1054,lbs,100565,8,16600.B,16600B,,
9,Add Calumet 400-500<1% LPA 170.,lbs,100507TANKO,9,16600.B,16600B,,
10,Add Chromatint Green HF,lbs,100418,10,16600.B,16600B,,
11,Agitate for 20 minutes.,,,11,16600.B,16600B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,12,16600.B,16600B,,
13,Ensure that any agitators used have been turned off.,,,13,16600.B,16600B,,
14,Remove GHS label from mix vessel.,,,14,16600.B,16600B,,
14,VW 6-12--23 Added S1054 to account for removal of PIB in S816,,,15,16600.B,16600B,,
1,Gather the required materials.,,,1,18500.B,18500B,,
2,Verify that the mix vessel is clean. ,,,2,18500.B,18500B,,
3,Apply GHS label to the mix vessel. ,,,3,18500.B,18500B,,
4,Charge vessel with Conco Pure Performance 70.,lbs,100457,4,18500.B,18500B,,
5,Start mixing the blend via circulation.,,,5,18500.B,18500B,,
7,Add SHF63/PAO8/Spectrasyn8.,lbs,100420,6,18500.B,18500B,,
8,Add Motiva Star 12.,lbs,100421G2,7,18500.B,18500B,,
9,Add Infineum V385.,lbs,100422,8,18500.B,18500B,,
10,Add KX 1208.,lbs,030173,9,18500.B,18500B,,
11,Continue circulating for 20 minutes.,,,10,18500.B,18500B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,11,18500.B,18500B,,
13,Ensure that any agitators used have been turned off.,,,12,18500.B,18500B,,
14,Remove the GHS label from the mix vessel.,,,13,18500.B,18500B,,
1,Gather the required materials.,,,1,19901.B,19901B,,
2,Verify that the mix vessel is clean. ,,,2,19901.B,19901B,,
3,Apply GHS label to the mix vessel.,,,3,19901.B,19901B,,
4,Charge vessel with DI water.,gal,030143,4,19901.B,19901B,,
5,Ensure that the DI water pump is turned off.,,,5,19901.B,19901B,,
6,Start agitator. ,,,6,19901.B,19901B,,
7,Add CAUSTIC SODA 50%.,lbs,050007,7,19901.B,19901B,,
8,Add Keyacid Red 40F,grams,500313,8,19901.B,19901B,,
9,Agitate for 20 minutes.,,,9,19901.B,19901B,,
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,10,19901.B,19901B,,
11,Ensure that any agitators used have been turned off.,,,11,19901.B,19901B,,
12,Remove GHS label from the mix vessel. ,,,12,19901.B,19901B,,
1,Gather the required materials.,,,1,19902.B,19902B,,
2,Verify that the mix vessel is clean. ,,,2,19902.B,19902B,,
3,Apply GHS label to the mix vessel. ,,,3,19902.B,19902B,,
4,Charge vessel with DI water.,gal,030143,4,19902.B,19902B,,
5,Set aside 8 gal DI water in two clean buckets (4 gal per bucket).,gal,030143,5,19902.B,19902B,,
6,Ensure that the DI water pump is turned off.,,,6,19902.B,19902B,,
7,Start agitator. ,,,7,19902.B,19902B,,
8,Add CHEM - HYDRCHLRIC ACID 20-23 B.,lbs,030050,8,19902.B,19902B,,
9,Using blue wire locks; re-seal hydrochloric acid tote.,,,9,19902.B,19902B,,
10,Agitate for 10 minutes.,,,10,19902.B,19902B,,
11,Add CHEM - SODIUM SULFITE.,grams,500318,11,19902.B,19902B,,
12,Agitate for 10 minutes.,,,12,19902.B,19902B,,
13,Add CHEM - Tomadol 91-8.,lbs,031013,13,19902.B,19902B,,
14,Add CHEM - DOW PG Carbo Wax 300.,lbs,500314,14,19902.B,19902B,,
15,Dissolve DYE-KEYACID TARTRAZINE 801-023 into a bucket with 4gal of DI water.,grams,500315,15,19902.B,19902B,,
16,Add DYE-KEYACID TARTRAZINE 801-023 water mixture. ,,500315,16,19902.B,19902B,,
17,Dissolve DYE-PYLAM AMARANTH RED LX-9944 into a bucket with 4gal of DI water.,grams,500317,17,19902.B,19902B,,
18,Add DYE-PYLAM AMARANTH RED LX-9944 water mixture. ,,500317,18,19902.B,19902B,,
19,Agitate for 20 minutes.,,,19,19902.B,19902B,,
20,Sample blend; label sample container; and deliver sample to QC Lab.,,,20,19902.B,19902B,,
21,Ensure that any agitators used have been turned off.,,,21,19902.B,19902B,,
22,Remove GHS label from the mix vessel.,,,22,19902.B,19902B,,
1,Gather the required materials.,,,1,19903USA.B,19903USAB,,
2,Verify that the mix vessel is clean. ,,,2,19903USA.B,19903USAB,,
3,Apply GHS label to mix vessel.,,,3,19903USA.B,19903USAB,,
4,Charge vessel with DI water,gal,030143,4,19903USA.B,19903USAB,,
5,Ensure that the DI water pump is turned off.,,,5,19903USA.B,19903USAB,,
6,Start agitator. ,,,6,19903USA.B,19903USAB,,
7,Add sodium hydroxide.,lbs,050007,7,19903USA.B,19903USAB,,
8,Add Keyacid Red 40F.,grams,500313,8,19903USA.B,19903USAB,,
9,Agitate for 20 minutes.,,,9,19903USA.B,19903USAB,,
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,10,19903USA.B,19903USAB,,
11,Ensure that any agitators used have been turned off.,,,11,19903USA.B,19903USAB,,
12,Remove GHS label from mix vessel.,,,12,19903USA.B,19903USAB,,
1,Gather the required materials.,,,1,203300.B,203300B,,
2,Verify that the vessel is clean. ,,,2,203300.B,203300B,,
3,Apply GHS label to the mix vessel.,,,3,203300.B,203300B,,
4,Charge vessel with water.,gal,WATER,4,203300.B,203300B,,
5,Start agitator.,,,5,203300.B,203300B,,
6,Add Preventol D7,lbs,030146P,6,203300.B,203300B,,
7,Add Fibrosil -EM60-HG ,lbs,030164,7,203300.B,203300B,,
8,Add Blueberry Fragrance,lbs,030175,8,203300.B,203300B,,
9,Add Eversorb AQ1,lbs,030110,9,203300.B,203300B,,
10,Add APS342,lbs,100473,10,203300.B,203300B,,
11,Agitate for 30 minutes.,,,11,203300.B,203300B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,12,203300.B,203300B,,
13,Ensure that any agitators used have been turned off.,,,13,203300.B,203300B,,
14,Remove GHS label from the mix vessel.,,,14,203300.B,203300B,,
1,Gather the required materials.,,,1,203500.B,203500B,,
2,Verify that the vessel is clean. ,,,2,203500.B,203500B,,
3,Charge vessel with water.,gal,,3,203500.B,203500B,,
4,Start agitator.,,,4,203500.B,203500B,,
5,Under Agitation add APS 342,lbs,100473,5,203500.B,203500B,,
6,Under Agitation add AP-0282,lbs,100474,6,203500.B,203500B,,
7,Under Agitation add Glacial Acetic Acid,lbs,030161,7,203500.B,203500B,,
8,Under Agitation add 91-8,lbs,031013,8,203500.B,203500B,,
10,Under agitation add PG,lbs,050000,9,203500.B,203500B,,
11,Under Agitation API-367,lbs,100475,10,203500.B,203500B,,
12,Under agitation add FRAGRANCE-Melon #231193(Belle-Aire),lbs,031065,11,203500.B,203500B,,
13,Under agitation add Liquidtint Patent Blue,grams,100461,12,203500.B,203500B,,
12,Under agitation add Liquidtint Yellow AF,grams,030122,13,203500.B,203500B,,
14,Under agitaion add Preventol D7,lbs,030146P,14,203500.B,203500B,,
1,Gather the required materials.,,,1,203700.B,203700B,,
2,Verify that the vessel is clean. ,,,2,203700.B,203700B,,
3,Charge vessel with water.,gal,WATER,3,203700.B,203700B,,
4,Add CHROMATINT BLUE 0408 D3500.,grams,030112,4,203700.B,203700B,,
5,Add APW 320N. ,lbs,030193,5,203700.B,203700B,,
6,Add IPA.,lbs,030018,6,203700.B,203700B,,
8,Add Cherry W/S Fragrance.,lbs,031043,7,203700.B,203700B,,
9,Add Busan 1264.,lbs,030146,8,203700.B,203700B,,
10,Add APS-342,lbs,031036,9,203700.B,203700B,,
11,Agitate for 30 minutes.,,,10,203700.B,203700B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,11,203700.B,203700B,,
13,Ensure that any agitators used have been turned off.,,,12,203700.B,203700B,,
1,Gather the required materials.,,,1,203900.B,203900B,,
2,Verify that the vessel is clean. ,,,2,203900.B,203900B,,
3,Apply GHS labels to the mix vessel.,,,3,203900.B,203900B,,
4,Charge vessel with water.,gal,WATER,4,203900.B,203900B,,
5,Add Fibrosil -EM60-HG ,lbs,030164,5,203900.B,203900B,,
6,Add Coconut Fragrance,lbs,030003,6,203900.B,203900B,,
7,Add Preventol D7,lbs,030146P,7,203900.B,203900B,,
8,Add Eversorb Aqi,lbs,030110,8,203900.B,203900B,,
9,Add APS-342,lbs,031036,9,203900.B,203900B,,
10,Agitate for 30 minutes.,,,10,203900.B,203900B,,
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,11,203900.B,203900B,,
12,Ensure that any agitators used have been turned off.,,,12,203900.B,203900B,,
13,Remove GHS labels from the mix vessel.,,,13,203900.B,203900B,,
1,Gather the required materials.,,,1,27200.B,27200B,,
2,Verify that the mix vessel is clean. ,,,2,27200.B,27200B,,
3,Apply GHS label to mix vessel. ,,,3,27200.B,27200B,,
4,Charge vessel with Motiva Star 12.,gal,100421G2,4,27200.B,27200B,,
5,Start agitator. ,,,5,27200.B,27200B,,
7,Add IPAC 9833L ,gal,100426,6,27200.B,27200B,,
8,Add Infineum V385,gal,100422,7,27200.B,27200B,,
9,Add D56000 Chromtint Green HF Dye,lbs,100418,8,27200.B,27200B,,
10,Submit sample to lab to test viscosity before adding dye.,,,9,27200.B,27200B,,
11,Pump product to dedicated green dye mix vessel. ,,,10,27200.B,27200B,,
12,Polyisobutylene (PIB) ( 7.431 lb/gal ),gal,100425,11,27200.B,27200B,,
13,Agitate for 1 hour.,,,12,27200.B,27200B,,
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,13,27200.B,27200B,,
15,Ensure that any agitators used have been turned off.,,,14,27200.B,27200B,,
16,Remove GHS label from mix vessel.,,,15,27200.B,27200B,,
1,Gather the required materials.,,,1,27300.B,27300B,,
2,Verify that the mix vessel is clean. ,,,2,27300.B,27300B,,
3,Apply GHS labels to mix vessel.,,,3,27300.B,27300B,,
4,Start agitator. ,,,4,27300.B,27300B,,
5,Motiva Star 12,gal,100421G2,5,27300.B,27300B,,
6,Motiva Star 4,gal,100427,6,27300.B,27300B,,
7,Na-lube BL-1208,gal,030173,7,27300.B,27300B,,
8,Infineum C 9330,gal,100429,8,27300.B,27300B,,
9,Infineum SV 265,gal,100424,9,27300.B,27300B,,
10,Infineum V 385,gal,100422,10,27300.B,27300B,,
11,D56000 Chromtint Green HF Dye,grams,100418,11,27300.B,27300B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,12,27300.B,27300B,,
13,Ensure that any agitators used have been turned off.,,,13,27300.B,27300B,,
14,Remove GHS labels from mix vessel.,,,14,27300.B,27300B,,
1,Gather the required materials.,,,1,27800.B,27800B,,
2,Verify that the mix vessel is clean. ,,,2,27800.B,27800B,,
3,Apply GHS labels to mix vessel. ,,,3,27800.B,27800B,,
4,Charge vessel with AramcoPrima 220/Motiva Star 6,gal,100428M6,4,27800.B,27800B,,
5,Start agitator. ,,,5,27800.B,27800B,,
6,Add Motiva Star 12,gal,100421G2,6,27800.B,27800B,,
7,Add Infineum D3503L,gal,100471,7,27800.B,27800B,,
8,Add Infineum V 385,gal,100422,8,27800.B,27800B,,
9,Agitate for 1 hour.,,,9,27800.B,27800B,,
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,10,27800.B,27800B,,
11,Ensure that any agitators used have been turned off.,,,11,27800.B,27800B,,
12,Remove GHS labels from mix vessel.,,,12,27800.B,27800B,,
1,Gather the required materials.,,,1,27900.B,27900B,,
2,Verify that the vessel is clean. ,,,2,27900.B,27900B,,
3,Apply GHS label to mix vessel.,,,3,27900.B,27900B,,
4,Charge vessel with AramcoPrima 220/Motiva Star 6,gal,100428M6,4,27900.B,27900B,,
5,Start agitator. ,,,5,27900.B,27900B,,
6,Add Motiva Star 12,gal,100421G2,6,27900.B,27900B,,
7,Add Infineum D3503L,gal,100471,7,27900.B,27900B,,
8,Add Infineum V 385,gal,100422,8,27900.B,27900B,,
9,Agitate for 1 hour.,,,9,27900.B,27900B,,
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,10,27900.B,27900B,,
11,Ensure that any agitators used have been turned off.,,,11,27900.B,27900B,,
12,Remove GHS label from mix vessel.,,,12,27900.B,27900B,,
1,Gather the required materials.,,,1,28000.B,28000B,,
2,Verify that the vessel is clean. ,,,2,28000.B,28000B,,
3,Apply GHS labels to the mix vessel.,,,3,28000.B,28000B,,
4,Charge vessel with AramcoPrima 220/Motiva Star 6,lbs,100428M6,4,28000.B,28000B,,
5,Start agitator. ,,,5,28000.B,28000B,,
6,Add Infineum D 3503L,lbs,100471,6,28000.B,28000B,,
7,Add Infineum SV 265,lbs,100424,7,28000.B,28000B,,
8,Agitate for 1 hour.,,,8,28000.B,28000B,,
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,9,28000.B,28000B,,
10,Ensure that any agitators used have been turned off.,,,10,28000.B,28000B,,
11,Remove GHS labels from the mix vessel. ,,,11,28000.B,28000B,,
1,Gather the required materials.,,,1,28100.B,28100B,,
2,Verify that the vessel is clean. ,,,2,28100.B,28100B,,
3,Apply GHS labels to the mix vessel.,,,3,28100.B,28100B,,
4,Charge vessel with Ultra S8,gal,100449,4,28100.B,28100B,,
5,Add Motiva Star 4,gal,100427,5,28100.B,28100B,,
6,Add AramcoPrima 220/Motiva Star 6,gal,100428M6,6,28100.B,28100B,,
7,Add Infineum S956 ,lbs,100450,7,28100.B,28100B,,
8,Add Infineum SV265,gal,100424,8,28100.B,28100B,,
9,Add Infineum V385,lbs,100422,9,28100.B,28100B,,
10,Agitate for 1 hour.,,,10,28100.B,28100B,,
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,11,28100.B,28100B,,
12,Ensure that any agitators used have been turned off.,,,12,28100.B,28100B,,
13,Remove GHS labels from the mix vessel. ,,,13,28100.B,28100B,,
1,Gather the required materials.,,,1,28200.B,28200B,,
2,Verify that the vessel is clean. ,,,2,28200.B,28200B,,
3,Apply GHS labels to the mix vessel.,,,3,28200.B,28200B,,
4,Charge vessel with Ultra S8,gal,100449,4,28200.B,28200B,,
5,Add Motiva Star 4,gal,100427,5,28200.B,28200B,,
6,Add AramcoPrima 220/Motiva Star 6,gal,100428M6,6,28200.B,28200B,,
