step_number,step_description,unit,component_item_code,blend_item_code
7,Add Calcium Nitrate 66% (GEP66),,100408,1170570.B
8,Add Preventol D7,,030146P,1170570.B
9,Measure up Chromatint Green 1707 dye; making sure to shake dye pail,,,1170570.B
10,Add Chromatint Green 1707,,030181,1170570.B
11,Agitate for 10 minutes.,,,1170570.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,1170570.B
13,Ensure that any agitators used have been turned off.,,,1170570.B
14,Remove GHS label from the mix vessel.,,,1170570.B
1,Gather the required materials.,,,128695.B
2,Verify that the vessel is clean. ,,,128695.B
3,Apply GHS label to the mix vessel.,,,128695.B
4,Charge vessel with water.,lbs,WATER,128695.B
5,Add Evogen Multi-Purpose 10XF,lbs,030106,128695.B
6,Add Chromatint 1102 Green Dye,grams,100438,128695.B
7,Agitate for 15 minutes.,,,128695.B
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,128695.B
9,Ensure that any agitators used have been turned off.,,,128695.B
10,Remove GHS label from the mix vessel.,,,128695.B
1,Gather the required materials.,,,14308.B
2,Verify that the vessel is clean.,,,14308.B
3,Change all sock filters and water trap filters.,,,14308.B
4,Agitate enzyme drums for 3 minutes before using.,,,14308.B
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,14308.B
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,14308.B
7,Start agitator at 160 RPM.,,,14308.B
8,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,14308.B
9,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,14308.B
10,Agitate for 1 hour.,,,14308.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,14308.B
12,Ensure that any agitators used have been turned off.,,,14308.B
13,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,14308.B
1,Gather the required materials.,,,14308AMBER.B
2,Verify that the vessel is clean.,,,14308AMBER.B
3,Change all sock filters and water trap filters.,,,14308AMBER.B
4,Agitate enzyme drums for 3 minutes before using.,,,14308AMBER.B
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,14308AMBER.B
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,14308AMBER.B
7,Start agitator at 160 RPM.,,,14308AMBER.B
8,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,14308AMBER.B
9,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,14308AMBER.B
10,Pump product to dedicated amber-startron mix vessel. (Tank 17).,,,14308AMBER.B
11,Hook air hose to line so excess product is blown out and product in vessel begins bubbling.,,,14308AMBER.B
12,Leaving air on so that air bubbles agitate the blend; add Chromatint Yellow Dye HF D51003.,grams,030192,14308AMBER.B
13,Leaving air on so that air bubbles agitate the blend; add Chromatint Red IK D530004.,grams,100416,14308AMBER.B
14,Mix product for 1 hour using air bubbles. ,,,14308AMBER.B
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,14308AMBER.B
16,Ensure that any agitators used have been turned off.,,,14308AMBER.B
1,Gather the required materials.,,,14800.B
2,Verify that the vessel is clean.,,,14800.B
3,Change all sock filters and water trap filters.,,,14800.B
4,Set aside 100gal of Calumet 400-500<1% LPA 170.,gal,100507TANKO,14800.B
5,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,gal,100507TANKO,14800.B
6,Start agitator at 160 RPM.,,,14800.B
7,Add Enzyme through 5 and 1 micron filter stacked.,lbs,100433,14800.B
8,Add Afton 6455,lbs,100547,14800.B
9,Add Ethanox 4737R,lbs,100548,14800.B
10,Flush pump and add the extra 100gal of Calumet.,gal,100507TANKO,14800.B
11,Agitate for 1 hour.,,,14800.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,14800.B
13,Ensure that any agitators used have been turned off.,,,14800.B
14,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,14800.B
1,Gather the required materials.,,,16200.B
2,Verify that the vessel is clean.,,,16200.B
3,Charge kettle with Motiva Star 4,gal,,16200.B
4,With agitation add Motiva Star 12,gal,,16200.B
5,then add Elco 102,gal,,16200.B
6,Let agitate for 60 minutes,,,16200.B
7,Sample blend; label sample container; and deliver sample to QC Lab.,,,16200.B
8,Ensure that any agitators used have been turned off.,,,16200.B
9,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,16200.B
1,Gather the required materials.,,,16300.B
2,Verify that the vessel is clean.,,,16300.B
3,Apply GHS label to the mix vessel.,,,16300.B
4,Charge kettle with ArmacoPrima 220(Motiva Star 6),gal,,16300.B
5,Under agitation add Motiva Star 12,gal,,16300.B
6,Add Elco 102,gal,,16300.B
7,Agitate for 60 minutes.,,,16300.B
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,16300.B
9,Remove GHS label from the mix vessel.,,,16300.B
10,Ensure that any agitators used have been turned off.,,,16300.B
1,Gather the required materials.,,,16600.B
2,Verify that the mix vessel is clean. ,,,16600.B
3,Apply GHS label to mix vessel. ,,,16600.B
4,Charge vessel with Motiva Star 6 (Aramco Prima 220).,lbs,100428M6,16600.B
5,Start agitator. ,,,16600.B
6,Add Infineum S810.,lbs,100560,16600.B
7,Agitate for 20 minutes.,,,16600.B
8,Add Infineum S1054,lbs,100565,16600.B
9,Add Calumet 400-500<1% LPA 170.,lbs,100507TANKO,16600.B
10,Add Chromatint Green HF,lbs,100418,16600.B
11,Agitate for 20 minutes.,,,16600.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,16600.B
13,Ensure that any agitators used have been turned off.,,,16600.B
14,Remove GHS label from mix vessel.,,,16600.B
14,VW 6-12--23 Added S1054 to account for removal of PIB in S816,,,16600.B
1,Gather the required materials.,,,18500.B
2,Verify that the mix vessel is clean. ,,,18500.B
3,Apply GHS label to the mix vessel. ,,,18500.B
4,Charge vessel with Conco Pure Performance 70.,lbs,100457,18500.B
5,Start mixing the blend via circulation.,,,18500.B
7,Add SHF63/PAO8/Spectrasyn8.,lbs,100420,18500.B
8,Add Motiva Star 12.,lbs,100421G2,18500.B
9,Add Infineum V385.,lbs,100422,18500.B
10,Add KX 1208.,lbs,030173,18500.B
11,Continue circulating for 20 minutes.,,,18500.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,18500.B
13,Ensure that any agitators used have been turned off.,,,18500.B
14,Remove the GHS label from the mix vessel.,,,18500.B
1,Gather the required materials.,,,19901.B
2,Verify that the mix vessel is clean. ,,,19901.B
3,Apply GHS label to the mix vessel.,,,19901.B
4,Charge vessel with DI water.,gal,030143,19901.B
5,Ensure that the DI water pump is turned off.,,,19901.B
6,Start agitator. ,,,19901.B
7,Add CAUSTIC SODA 50%.,lbs,050007,19901.B
8,Add Keyacid Red 40F,grams,500313,19901.B
9,Agitate for 20 minutes.,,,19901.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,19901.B
11,Ensure that any agitators used have been turned off.,,,19901.B
12,Remove GHS label from the mix vessel. ,,,19901.B
1,Gather the required materials.,,,19902.B
2,Verify that the mix vessel is clean. ,,,19902.B
3,Apply GHS label to the mix vessel. ,,,19902.B
4,Charge vessel with DI water.,gal,030143,19902.B
5,Set aside 8 gal DI water in two clean buckets (4 gal per bucket).,gal,030143,19902.B
6,Ensure that the DI water pump is turned off.,,,19902.B
7,Start agitator. ,,,19902.B
8,Add CHEM - HYDRCHLRIC ACID 20-23 B.,lbs,030050,19902.B
9,Using blue wire locks; re-seal hydrochloric acid tote.,,,19902.B
10,Agitate for 10 minutes.,,,19902.B
11,Add CHEM - SODIUM SULFITE.,grams,500318,19902.B
12,Agitate for 10 minutes.,,,19902.B
13,Add CHEM - Tomadol 91-8.,lbs,031013,19902.B
14,Add CHEM - DOW PG Carbo Wax 300.,lbs,500314,19902.B
15,Dissolve DYE-KEYACID TARTRAZINE 801-023 into a bucket with 4gal of DI water.,grams,500315,19902.B
16,Add DYE-KEYACID TARTRAZINE 801-023 water mixture. ,,500315,19902.B
17,Dissolve DYE-PYLAM AMARANTH RED LX-9944 into a bucket with 4gal of DI water.,grams,500317,19902.B
18,Add DYE-PYLAM AMARANTH RED LX-9944 water mixture. ,,500317,19902.B
19,Agitate for 20 minutes.,,,19902.B
20,Sample blend; label sample container; and deliver sample to QC Lab.,,,19902.B
21,Ensure that any agitators used have been turned off.,,,19902.B
22,Remove GHS label from the mix vessel.,,,19902.B
1,Gather the required materials.,,,19903USA.B
2,Verify that the mix vessel is clean. ,,,19903USA.B
3,Apply GHS label to mix vessel.,,,19903USA.B
4,Charge vessel with DI water,gal,030143,19903USA.B
5,Ensure that the DI water pump is turned off.,,,19903USA.B
6,Start agitator. ,,,19903USA.B
7,Add sodium hydroxide.,lbs,050007,19903USA.B
8,Add Keyacid Red 40F.,grams,500313,19903USA.B
9,Agitate for 20 minutes.,,,19903USA.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,19903USA.B
11,Ensure that any agitators used have been turned off.,,,19903USA.B
12,Remove GHS label from mix vessel.,,,19903USA.B
1,Gather the required materials.,,,203300.B
2,Verify that the vessel is clean. ,,,203300.B
3,Apply GHS label to the mix vessel.,,,203300.B
4,Charge vessel with water.,gal,WATER,203300.B
5,Start agitator.,,,203300.B
6,Add Preventol D7,lbs,030146P,203300.B
7,Add Fibrosil -EM60-HG ,lbs,030164,203300.B
8,Add Blueberry Fragrance,lbs,030175,203300.B
9,Add Eversorb AQ1,lbs,030110,203300.B
10,Add APS342,lbs,100473,203300.B
11,Agitate for 30 minutes.,,,203300.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,203300.B
13,Ensure that any agitators used have been turned off.,,,203300.B
14,Remove GHS label from the mix vessel.,,,203300.B
1,Gather the required materials.,,,203500.B
2,Verify that the vessel is clean. ,,,203500.B
3,Charge vessel with water.,gal,,203500.B
4,Start agitator.,,,203500.B
5,Under Agitation add APS 342,lbs,100473,203500.B
6,Under Agitation add AP-0282,lbs,100474,203500.B
7,Under Agitation add Glacial Acetic Acid,lbs,030161,203500.B
8,Under Agitation add 91-8,lbs,031013,203500.B
10,Under agitation add PG,lbs,050000,203500.B
11,Under Agitation API-367,lbs,100475,203500.B
12,Under agitation add FRAGRANCE-Melon #231193(Belle-Aire),lbs,031065,203500.B
13,Under agitation add Liquidtint Patent Blue,grams,100461,203500.B
12,Under agitation add Liquidtint Yellow AF,grams,030122,203500.B
14,Under agitaion add Preventol D7,lbs,030146P,203500.B
1,Gather the required materials.,,,203700.B
2,Verify that the vessel is clean. ,,,203700.B
3,Charge vessel with water.,gal,WATER,203700.B
4,Add CHROMATINT BLUE 0408 D3500.,grams,030112,203700.B
5,Add APW 320N. ,lbs,030193,203700.B
6,Add IPA.,lbs,030018,203700.B
8,Add Cherry W/S Fragrance.,lbs,031043,203700.B
9,Add Busan 1264.,lbs,030146,203700.B
10,Add APS-342,lbs,031036,203700.B
11,Agitate for 30 minutes.,,,203700.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,203700.B
13,Ensure that any agitators used have been turned off.,,,203700.B
1,Gather the required materials.,,,203900.B
2,Verify that the vessel is clean. ,,,203900.B
3,Apply GHS labels to the mix vessel.,,,203900.B
4,Charge vessel with water.,gal,WATER,203900.B
5,Add Fibrosil -EM60-HG ,lbs,030164,203900.B
6,Add Coconut Fragrance,lbs,030003,203900.B
7,Add Preventol D7,lbs,030146P,203900.B
8,Add Eversorb Aqi,lbs,030110,203900.B
9,Add APS-342,lbs,031036,203900.B
10,Agitate for 30 minutes.,,,203900.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,203900.B
12,Ensure that any agitators used have been turned off.,,,203900.B
13,Remove GHS labels from the mix vessel.,,,203900.B
1,Gather the required materials.,,,27200.B
2,Verify that the mix vessel is clean. ,,,27200.B
3,Apply GHS label to mix vessel. ,,,27200.B
4,Charge vessel with Motiva Star 12.,gal,100421G2,27200.B
5,Start agitator. ,,,27200.B
7,Add IPAC 9833L ,gal,100426,27200.B
8,Add Infineum V385,gal,100422,27200.B
9,Add D56000 Chromtint Green HF Dye,lbs,100418,27200.B
10,Submit sample to lab to test viscosity before adding dye.,,,27200.B
11,Pump product to dedicated green dye mix vessel. ,,,27200.B
12,Polyisobutylene (PIB) ( 7.431 lb/gal ),gal,100425,27200.B
13,Agitate for 1 hour.,,,27200.B
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,27200.B
15,Ensure that any agitators used have been turned off.,,,27200.B
16,Remove GHS label from mix vessel.,,,27200.B
1,Gather the required materials.,,,27300.B
2,Verify that the mix vessel is clean. ,,,27300.B
3,Apply GHS labels to mix vessel.,,,27300.B
4,Start agitator. ,,,27300.B
5,Motiva Star 12,gal,100421G2,27300.B
6,Motiva Star 4,gal,100427,27300.B
7,Na-lube BL-1208,gal,030173,27300.B
8,Infineum C 9330,gal,100429,27300.B
9,Infineum SV 265,gal,100424,27300.B
10,Infineum V 385,gal,100422,27300.B
11,D56000 Chromtint Green HF Dye,grams,100418,27300.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,27300.B
13,Ensure that any agitators used have been turned off.,,,27300.B
14,Remove GHS labels from mix vessel.,,,27300.B
1,Gather the required materials.,,,27800.B
2,Verify that the mix vessel is clean. ,,,27800.B
3,Apply GHS labels to mix vessel. ,,,27800.B
4,Charge vessel with AramcoPrima 220/Motiva Star 6,gal,100428M6,27800.B
5,Start agitator. ,,,27800.B
6,Add Motiva Star 12,gal,100421G2,27800.B
7,Add Infineum D3503L,gal,100471,27800.B
8,Add Infineum V 385,gal,100422,27800.B
9,Agitate for 1 hour.,,,27800.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,27800.B
11,Ensure that any agitators used have been turned off.,,,27800.B
12,Remove GHS labels from mix vessel.,,,27800.B
1,Gather the required materials.,,,27900.B
2,Verify that the vessel is clean. ,,,27900.B
3,Apply GHS label to mix vessel.,,,27900.B
4,Charge vessel with AramcoPrima 220/Motiva Star 6,gal,100428M6,27900.B
5,Start agitator. ,,,27900.B
6,Add Motiva Star 12,gal,100421G2,27900.B
7,Add Infineum D3503L,gal,100471,27900.B
8,Add Infineum V 385,gal,100422,27900.B
9,Agitate for 1 hour.,,,27900.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,27900.B
11,Ensure that any agitators used have been turned off.,,,27900.B
12,Remove GHS label from mix vessel.,,,27900.B
1,Gather the required materials.,,,28000.B
2,Verify that the vessel is clean. ,,,28000.B
3,Apply GHS labels to the mix vessel.,,,28000.B
4,Charge vessel with AramcoPrima 220/Motiva Star 6,lbs,100428M6,28000.B
5,Start agitator. ,,,28000.B
6,Add Infineum D 3503L,lbs,100471,28000.B
7,Add Infineum SV 265,lbs,100424,28000.B
8,Agitate for 1 hour.,,,28000.B
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,28000.B
10,Ensure that any agitators used have been turned off.,,,28000.B
11,Remove GHS labels from the mix vessel. ,,,28000.B
1,Gather the required materials.,,,28100.B
2,Verify that the vessel is clean. ,,,28100.B
3,Apply GHS labels to the mix vessel.,,,28100.B
4,Charge vessel with Ultra S8,gal,100449,28100.B
5,Add Motiva Star 4,gal,100427,28100.B
6,Add AramcoPrima 220/Motiva Star 6,gal,100428M6,28100.B
7,Add Infineum S956 ,lbs,100450,28100.B
8,Add Infineum SV265,gal,100424,28100.B
9,Add Infineum V385,lbs,100422,28100.B
10,Agitate for 1 hour.,,,28100.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,28100.B
12,Ensure that any agitators used have been turned off.,,,28100.B
13,Remove GHS labels from the mix vessel. ,,,28100.B
1,Gather the required materials.,,,28200.B
2,Verify that the vessel is clean. ,,,28200.B
3,Apply GHS labels to the mix vessel.,,,28200.B
4,Charge vessel with Ultra S8,gal,100449,28200.B
5,Add Motiva Star 4,gal,100427,28200.B
6,Add AramcoPrima 220/Motiva Star 6,gal,100428M6,28200.B
7,Infineum S956 ,lbs,100450,28200.B
8,Add Infineum SV265,gal,100424,28200.B
9,Add Infineum V 385,lbs,100422,28200.B
10,Agitate for 1 hour.,,,28200.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,28200.B
12,Ensure that any agitators used have been turned off.,,,28200.B
13,Remove GHS labels from the mix vessel. ,,,28200.B
1,Gather the required materials.,,,28300.B
2,Verify that vessel is clean. ,,,28300.B
3,Apply GHS labels to the mix vessel.,,,28300.B
4,Charge vessel with Motiva Star 12,gals,100421G2,28300.B
5,Add INFINEUM S956 as the oil is circulating to the outside vessel.,gals,100450,28300.B
6,Add Ultra S8 as the oil is circulating to the outside vessel.,gals,100449,28300.B
7,Add Infineum V385,lbs,100422,28300.B
8,Agitate for 1 hour.,,,28300.B
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,28300.B
10,Ensure that any agitators used have been turned off.,,,28300.B
11,Remove GHS labels from the mix vessel. ,,,28300.B
1,Gather the required materials.,,,28500.B
2,Verify that the vessel is clean. ,,,28500.B
3,Apply GHS labels to the mix vessel.,,,28500.B
4,Charge vessel with Motiva Star 12,gal,100421G2,28500.B
5,Add Motiva Star 4 ,gal,100427,28500.B
6,Add the Na-lube BL-1208,gal,030173,28500.B
7,Add Infineum SV 265,gal,100424,28500.B
8,Add Infineum V385,gal,100422,28500.B
9,Agitate for 1 hour.,,,28500.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,28500.B
11,Ensure that any agitators used have been turned off.,,,28500.B
12,Remove GHS labels from the mix vessel. ,,,28500.B
1,Gather the required materials.,,,29100.B
2,Verify that the vessel is clean. ,,,29100.B
3,Apply GHS labels to the mix vessel.,,,29100.B
4,Motiva Star 12/AramcoPrima 600,gal,100421G2,29100.B
5,Add Spectrasyn Elite 150,gal,100421,29100.B
6,Add S956,lbs,100450,29100.B
7,Add Infineum V 385,lbs,100422,29100.B
8,Agitate for 1 hour.,,,29100.B
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,29100.B
10,Ensure that any agitators used have been turned off.,,,29100.B
11,Remove GHS labels from the mix vessel. ,,,29100.B
1,Gather the required materials.,,,29200.B
2,Verify that the vessel is clean. ,,,29200.B
3,Apply GHS label to the mix vessel.,,,29200.B
4,Charge vessel with PAO - SpectraSyn 6,lbs,100462,29200.B
5,Start agitator.,,,29200.B
6,Add PAO - SpectraSyn 100,lbs,100451,29200.B
7,Add Synnesstic 5,lbs,100464,29200.B
8,Add IPAC 9833L ,lbs,100426,29200.B
9,Agitate for 1 hour.,,,29200.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,29200.B
11,Ensure that any agitators used have been turned off.,,,29200.B
12,Remove GHS label from the mix vessel.,,,29200.B
1,Gather the required materials.,,,29700.B
2,Verify that the vessel is clean. ,,,29700.B
3,Apply GHS labels to the mix vessel.,,,29700.B
4,Charge vessel with Ultra S4,gal,100458,29700.B
5,Add Ultra S8,gal,100449,29700.B
6,Add Pao 40,gal,100450,29700.B
7,Add Infineum S956,lbs,100422,29700.B
8,Infineum SV 265,lbs,100424,29700.B
9,Infineum V 385,lbs,100422,29700.B
10,Ensure that any agitators used have been turned off.,,,29700.B
11,Remove GHS labels from the mix vessel. ,,,29700.B
1,Gather the required materials.,,,29800.B
2,Verify that the vessel is clean. ,,,29800.B
3,Apply GHS labels to the mix vessel.,,,29800.B
4,Charge vessel with Motiva Star 12/AramcoPrima 600),gal,100421G2,29800.B
5,Add Motiva Star 4 /Aramco Prima 100 ,gal,100427,29800.B
7,Add Infineum S956 ,lbs,100450,29800.B
8,Add Infineum SV265,gal,100424,29800.B
9,Add Infineum V385,lbs,100422,29800.B
10,Agitate for 1 hour.,,,29800.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,29800.B
12,Ensure that any agitators used have been turned off.,,,29800.B
13,Remove GHS labels from the mix vessel. ,,,29800.B
1,Gather the required materials.,,,29900.B
2,Verify that the mix vessel is clean. ,,,29900.B
3,Apply GHS label to mix vessel. ,,,29900.B
4,Charge vessel with Motiva Star 12.,gal,100421G2,29900.B
5,Start agitator. ,,,29900.B
7,Add IPAC 9833L ,gal,100426,29900.B
8,Add Infineum SV 265,gal,100424,29900.B
9,Add Ipac T 506,lbs,100472,29900.B
10,Submit sample to lab to test viscosity before adding dye.,,,29900.B
11,Pump product to dedicated green dye mix vessel. ,,,29900.B
12,Polyisobutylene (PIB) ( 7.431 lb/gal ),gal,100425,29900.B
13,Agitate for 1 hour.,,,29900.B
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,29900.B
15,Ensure that any agitators used have been turned off.,,,29900.B
16,Remove GHS label from mix vessel.,,,29900.B
1,Gather the required materials.,,,300355.B
2,Verify that the vessel is clean. ,,,300355.B
3,Apply GHS label to the mix vessel.,,,300355.B
4,Charge vessel with DI Water,gal,030143,300355.B
5,Ensure that the DI water pump is turned off.,,,300355.B
6,Start agitator,,,300355.B
7,Add Busan 1264,lbs,030146,300355.B
8,Add Wintrol MBT-50Na ,lbs,030165,300355.B
9,Add Bitrex Solution,lbs,100511,300355.B
10,Add Ethylene Glycol,gals,601015,300355.B
11,Agitate for 5 minutes.,,,300355.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,300355.B
13,Ensure that any agitators used have been turned off.,,,300355.B
14,Remove GHS label from the mix vessel.,,,300355.B
1,Gather the required materials.,,,300357.B
2,Verify that the vessel is clean. ,,,300357.B
3,Apply GHS label to the mix vessel.,,,300357.B
4,Charge vessel with EG.,gal,601015,300357.B
5,Start agitator,,,300357.B
6,Add DI Water,gal,030143,300357.B
7,Ensure that the DI water pump is turned off.,,,300357.B
8,Add DKP,gal,030066,300357.B
9,Add Busan 1264,lbs,030146,300357.B
10,Add Chromatint 0218 Green Dye,grams,240011,300357.B
11,Add Uranine Yellow Dye,grams,240087,300357.B
12, Add Bitrex Solution,lbs,100511,300357.B
13,Agitate for 5 minutes.,,,300357.B
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,300357.B
15,Ensure that any agitators used have been turned off.,,,300357.B
16,Remove GHS label from the mix vessel.,,,300357.B
1,Gather the required materials.,,,32500.B
2,Verify that the vessel is clean. ,,,32500.B
3,Apply GHS labels to the mix vessel.,,,32500.B
4,Charge vessel with water.,gal,WATER,32500.B
5,Add Busan 1264,lbs,030146,32500.B
6,Add Glycerine,gal,050000G,32500.B
7,Add DKP,gal,030066,32500.B
8,Add Chromatint Green 1707,grams,030181,32500.B
9,Agitate for 10 minutes.,,,32500.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,32500.B
11,Ensure that any agitators used have been turned off.,,,32500.B
12,Remove GHS labels from the mix vessel. ,,,32500.B
1,Gather the required materials.,,,32700.B
2,Verify that the vessel is clean. ,,,32700.B
3,Apply GHS labels to the mix vessel.,,,32700.B
